Can I stop to alight a passenger with the bus lane during its operation hours?;No, I am not allowed to.;Yes, the passenger gave the instruction thus I am not at fault.;Yes, but also inform her not to do it next time.;Yes, when there is not enforcement officer around.
Which of the following carries a fine of $200 and 5 demerit points?;obstructing Registrar or authorized officer in the exercise of his power and duty to examine chauffeured private hire car or taxi;verbally insulting, intimidating or harassing a passenger other than in a sexual manner;obstructing or obscuring the front windscreen of a chauffeured private car or taxi;failing to deposit property left in the vehicle in the manner required for more than 7 days
Which of the following carries a fine of $300 and 6 demerit points?;intentionally taking booking from unauthorised provider of ride-hail service;Using, wearing or having in his possession the vocational licence of another person;obstructing or obscuring the front windscreen of a chauffeured private car or taxi;causing hurt to passenger through carelessness or willful misbehavior
Which of the following carries a fine of $500 and 12 demerit points?;Failing to surrender vocational licence upon cancellation of vocational licence;Taking from passenger ride-hail fare more than ride-hail fare last published by the ride-hail service licensee for ride-hail service by less than $20;Terminating hiring or requiring passenger to leave chauffeured private hire car without reasonable excuse before passenger is conveyed to destination;failing to deposit property left in the vehicle in the manner required for more than 24 hours but less than 7 days
Which of the following does not carries a fine of $500 and 21 demerit points?;Permitting any other person to use or have in that other person's possession, his vocational license;Installing or causing or permitting to be installed, visual recording equipment in or on a chauffeured private hire car or taxi;Taking from passenger ride-hail fare inconsistent with ride-hail policy by less than $20;Failing to deposit property left in the vehicle in the manner required for more than 7 days
What is the penalty of using, causing or permitting a motor vehicle to be used as a chauffeured private hire car or taxi when there is not public service vehicle licence authorizing such use?;Fine only;Demerit points only;Fine and demerit point;Demerit points and court action
What is the penalty for driving a chauffeured private hire car or taxi with expired vocational licence?;5 Demerit Points and $200 Fine;21 Demerit Points and $500 Fine;12 Demerit Points and $500 Fine;21 Demerit Points and Court Action
What is the penalty for driving a chauffeured private hire car or taxi whilst vocational licence is suspended?;Fine only;Demerit points only;Fine and demerit point;Demerit points and court action
What is the penalty for Installing, or causing or permitting to be installed, audio recording equipment in or on a chauffeured private hire car or taxi?;5 Demerit Points and $200 Fine;21 Demerit Points and $500 Fine;12 Demerit Points and $500 Fine;21 Demerit Points and Court Action
What is the penalty of disclosing, or causing or allowing to be disclosed, a visual recording made of any person or thing, or the occurrence of any incident, within a chauffeured private hire car or taxi?;Fine only;Fine and demerit point;Fine, demerit point and revocation;Demerit points and court action
What is the penalty of permitting any other person to use, or have in that other person's possession, his or her vocational licence?;5 Demerit Points and $200 Fine;21 Demerit Points and $500 Fine;12 Demerit Points and $500 Fine;21 Demerit Points and Court Action
Which of the following carries a penalty of 21 demerit points and court action?;Disclosing, or causing or allowing to be disclosed, a visual recording made of any person or thing, or the occurrence of any incident, within a chauffeured private hire car or taxi;Permitting any other person to use, or have in that other person's possession, his or her vocational licence;Driving a chauffeured private hire car or taxi with expired vocational licence;Taking from passenger ride-hail fare inconsistent with ride-hail policy by $20 or more
Which of the following carries the highest demerit points?;Failing to surrender vocational licence upon suspension or cancellation of vocational licence;Verbally insulting, intimidating or harassing a passenger in a sexual manner;Taking from passenger ride-hail fare more than ride-hail fare last published by the ride-hail service licensee for ride-hail service by less than $20;Installing, or causing or permitting to be installed, visual recording equipment in or on a chauffeured private hire car or taxi
Which of the following carries the lowest demerit points?;Using, wearing or having in his or her possession the vocational licence of another person;Verbally insulting, intimidating or harassing a passenger other than in a sexual manner;Intentionally taking booking for on-demand passenger transport service from unauthorised provider of ride-hail service;Failing to deposit property left in the vehicle in the manner required for more than 24 hours but less than 7 days
Which of the offence committed by a chauffeured private hire car or taxi driver is likely to have his vocational licence revoked?;Driving chauffeured private hire car or taxi with expired vocational licence;Permitting any other person to use, or have in that other person's possession, his or her vocational licence;Installing, or causing or permitting to be installed, audio recording equipment in or on a chauffeured private hire car or taxi;All of the above
Which of the offence committed by a chauffeured private hire car or taxi driver is likely to have his vocational licence revoked?;Installing, or causing or permitting to be installed, visual recording equipment in or on a chauffeured private hire car or taxi;Failing to deposit property left in the vehicle in the manner required for more than 7 days;Taking from passenger ride-hail fare more than ride-hail fare last published by the ride-hail service licensee for ride-hail service (by $20 or more);All of the above
Which of the offence committed by a chauffeured private hire car or taxi driver is likely to have his vocational licence revoked?;Causing hurt to passenger in chauffeured private hire car or taxi through carelessness or wilful misbehaviour;Using, wearing or having in his or her possession the vocational licence of another person;Failing to deposit property left in the vehicle in the manner required for more than 24 hours but less than 7 days;Permitting chauffeured private hire car or taxi to be driven by driver whose vocational licence is under suspension or by unlicensed driver
What is the penalty for overcharging the passenger by $20 or more?;Fine only;Fine and demerit point;Fine, demerit point and revocation;Demerit points and court action
What is the penalty for failing to return property left in the vehicle for 7 days or more?;Fine only;Fine and demerit point;Fine, demerit point and revocation;Demerit points and court action
What is the penalty for taking booking from unauthorised provider?;Fine only;Demerit points only;Fine and demerit point;Demerit points and court action
What is the penalty for verbally harassing a passenger in a non-sexual manner?;Fine only;Demerit points only;Fine and demerit point;Demerit points and court action
If a driver drives a chauffeured private hire car or taxi with an expired vocational licence, the driver will be slapped with ____.;Fine only;Demerit points only;Fine and demerit point;Demerit points and court action
If a driver permit any other person to use his or her vocational licence, the driver will be slapped with ____.;Fine only;Demerit points only;Fine and demerit point;Demerit points and court action
If a driver discloses a visual recording made of any person within a chauffeured private hire car or taxi, the driver will be slapped with ____.;Fine only;Fine and demerit point;Fine, demerit point and revocation;Demerit points and court action
If a driver causing hurt to passenger in chauffeured private hire car or taxi through carelessness or wilful misbehaviour, the driver will be slapped with ____.;Fine only;Demerit points only;Fine and demerit point;Demerit points and court action
If a driver obstructs the front windscreen of a chauffeured private hire car or taxi, the driver will be slapped with ____.;Fine only;Demerit points only;Fine and demerit point;Demerit points and court action
Which of the following is not a penalty for errant drivers?;Court action.;Composition fines.;Suspension or revocation of vocational licence.;Fines and definite jail
If a driver fails to surrender vocational licence upon suspension or cancellation of vocational licence, the driver will be slapped with ____.;Fine only;Demerit points only;Fine and demerit point;Demerit points and court action
If a driver intentionally takes booking from unauthorised provider of ride-hail service the driver will be slapped with ____.;Fine only;Demerit points only;Fine and demerit point;Demerit points and court action
If a driver overcharges the passenger by more than $20, the driver will be slapped with ____.;5 Demerit Points and $200 Fine;21 Demerit Points and $500 Fine;12 Demerit Points and $500 Fine;21 Demerit Points and Court Action
If a driver fails to return property left in the vehicle for more than 7 days, the driver will be slapped with ____.;5 Demerit Points and $200 Fine;21 Demerit Points and $500 Fine;12 Demerit Points and $500 Fine;21 Demerit Points and Court Action
Under VLPS, what is the penalty for obstructing Registrar or authorised officer in the exercise of his or her power and duty to examine private hire car?;Fine only;Fine and demerit points;Fine, demerit points and revocation;Demerit points and court action
What is the penalty if a taxi or private hire car driver tampers with his vocational licence?;Fine only;Fine and demerit points;Fine, demerit points and suspension;Demerit points and court action
How does the LTA handle passengers' complaints?;The Authority investigates complaints relating to customer service.;The Authority will refer complaints relating to infringement of rules and regulations to the respective booking apps service providers.;The Authority does not handle complaints from passengers.;The Authority investigates complaints relating to infringement of rules and regulations
What is the penalty for vocational licence holder failing to appear before authorized officer?;Fine only;Fine and demerit points;Fine, demerit points and suspension;Fine, demerit points and revocation
Which of the following requires a vocational licence holder to return his licence?;When his VL is revoked or suspended;When his VL is defaced;When is VL expires;All of the above
Under the VLPS, what is the penalty for verbally insulting, intimidating or harassing a passenger in a sexual manner?;5 Demerit Points and $200 Fine;5 Demerit Points and $500 Fine;21 Demerit Points, $200 Fine and revocation;12 Demerit Points, $500 Fine and suspension
Under the VLPS, what is the penalty for verbally insulting, intimidating or harassing a passenger (other than in a sexual manner)?;3 Demerit Points and $100 Fine;5 Demerit Points and $200 Fine;5 Demerit Points and $100 Fine;3 Demerit Points and $200 Fine
What is the penalty for failing to ensure the safety of passenger in the vehicle, entering or alighting from the vehicle?;Fine only;Fine and Demerit points;Fine, Demerit points and revocation;Fine, Demerit points and suspension
What is the penalty for failing to stop close to the verge of the road?;$50 Fine and 3 Demerit points;$30 Fine;$50 Fine;$100 Fine
What is the penalty for leaving passenger before termination of hiring?;Fine and demerit points;Fine, demerit points and suspension;Fine, demerit points and revocation;Fine only
